Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,4.0,0.6279000043869019,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", arryoreilly There are many reasons why people get stuck doing the same things over and over again The main one is the erroneous eli 
1,6.0,0.7807999849319458,"watch, also, tayyamemon, live, truth, world, interview, chalnanikal, pay, aap", Zig Ziglar has inspired millions around the world Here is a taste of what he has to say quotes ZigZiglar 
2,5.0,0.8866999745368958,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", Are you stuck working with a complete jerk Here are some helpful survival tips career relationships 
3,8.0,0.8461999893188477,"love, know, patriot, sad, ready, post, wish, sure, name, make", sprfsh_rachel Be sure the coaches you hire have a process to diagnose root cause issuesSome coaches employ a personality assessmen 
4,3.0,0.6998999714851379,"great, good_morning, hope, vote, s, start, forget, let, get, elieve", These are the kind of meeting timewasters to avoid at all costs meetings 
5,6.0,0.8776000142097473,"watch, also, tayyamemon, live, truth, world, interview, chalnanikal, pay, aap", Google has quietly added DuckDuckGo as a search engine option for Chrome users in markets 
6,5.0,0.8593999743461609,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", Failure is the condiment that gives success its flavor Truman Capote quote 
7,6.0,0.8001000285148621,"watch, also, tayyamemon, live, truth, world, interview, chalnanikal, pay, aap", This famous Silicon Valley venture capitalist proved himself to Steve Jos y doing one surprising thing 
8,5.0,0.8866999745368958,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", The smartest and most effective leaders avoid making these avoidale mistakes leadership communication 
9,2.0,0.400299996137619,"be, go, see, ill, man, home, happy, people, want, could", melroins Focus on who youll e when youre happy not what youll have 
10,4.0,0.6549999713897705,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", For all the awkward people in the world give yourself a gentle nudge and the possiilities are endless 
11,2.0,0.49639999866485596,"be, go, see, ill, man, home, happy, people, want, could", You may e surprised to find out that these symptoms could e a sign of too much stress in your life 
12,1.0,0.7835999727249146,"have, stay, een, life, court, try, large, crime, news, bahria_town", Looking for motivation and inspiration Try this advice from Jessica Ala JessicaAla quotes 
13,1.0,0.6470000147819519,"have, stay, een, life, court, try, large, crime, news, bahria_town", US to uild six nuclear power plants in India 
14,8.0,0.9097999930381775,"love, know, patriot, sad, ready, post, wish, sure, name, make", iznwes White noise vs Pink noise Which sounds helps you concentrate and which makes you more creative Idea to Value 
15,7.0,0.42309999465942383,"wonderful, year, gronkowski, everyone, tweet, think, look, funniest, retirement, ack", Why treating every failure as an opportunity to learn is so important personalgrowth 
16,1.0,0.7835999727249146,"have, stay, een, life, court, try, large, crime, news, bahria_town", Looking for motivation and inspiration Try this advice from Jessica Ala JessicaAla quotes 
17,4.0,0.8044000267982483,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", Really First allwomen spacewalk canceled over lack of mediumsized spacesuits tech feedly 
18,2.0,0.7742999792098999,"be, go, see, ill, man, home, happy, people, want, could", machinegunkelly you did SO well in The Dirt Man 
